z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,genre,track_name,track_artist
1.4722506,0.015528269,2.341227,-0.6554988,1.4868203,1.2977597,0.0544209,-0.84570956,-0.8197198,-0.600042,-0.4439209,0.9915455,-1.1091732,-0.21838121,-1.8266124,0.18372306,r&b,Tokyo,Lianne La Havas
2.8883522,2.0193524,3.4137676,1.5917886,0.80418825,2.3934667,-1.8636605,-1.4085933,-2.3305664,1.3644458,-1.318681,1.6302116,-0.28986466,0.96490794,-3.1111698,-1.6599468,pop,Corduroy Dreams,Rex Orange County
1.0584465,-0.49672863,-0.52894115,-1.879328,1.4297696,2.5921617,0.32114658,-1.0012085,-2.2742038,-2.6391745,0.6853524,-0.26973605,0.45389163,-0.31669524,-0.29525417,2.1840088,edm,Hit That Jive,Gramatik
1.0864005,-0.13314259,2.1709867,-0.5139856,1.8167372,0.9824209,-0.9319743,-0.40546554,-1.2208015,-0.48933798,-0.565513,1.0606933,-1.5711083,-1.5475495,-2.3059313,0.17623945,r&b,Nobody (feat. Athena Cage) - Single Version; 2007 Remaster,Keith Sweat
1.5608242,-0.55048287,2.1970673,-1.7210004,1.1033626,0.086441964,-1.600654,-3.0322242,-0.27327937,-0.26055405,-1.2197849,-0.07905632,-3.1060526,0.3527773,-1.2339854,-2.026741,rock,Go to Hell,Alice Cooper
0.5694471,0.093044676,-0.4868648,-1.1496431,0.55493695,0.23501219,-0.40418738,-0.45125115,-1.0950619,-1.4642767,0.10899492,-0.4240952,0.028623192,-1.0916877,-0.740999,1.0292393,pop,Paparazzi,Lady Gaga
1.1538676,-1.3751303,0.9095584,-0.82584107,2.1617715,0.22797653,1.9684167,-1.748676,-0.43672496,-2.2205954,1.2189591,-0.9062538,-1.8233138,-0.76929855,-0.6932335,-0.8450172,rock,Jet Airliner - Remastered 2017,Steve Miller Band
1.6450721,0.9404416,0.791825,-0.4638137,0.029760696,0.25188756,0.23679638,-0.5836507,-1.8254435,-0.91795236,-0.66312635,0.8070778,0.41692203,0.22633374,-0.78848237,-0.033029202,rap,Say It,Flume
0.9100637,0.21009344,-0.26216257,-1.2209686,1.0108091,0.7776363,-0.31530824,-0.76484585,-1.2329495,-2.271209,0.15935025,-0.77395636,-0.1420176,-1.1626213,-1.0561604,0.026593052,edm,Faith - Radio Edit,Blasterjaxx
0.7151439,-0.9924004,-1.4875371,-1.2658,0.7536799,-0.12027578,1.0501155,-0.907629,-0.57251537,-1.908398,0.7518264,-0.922008,0.022852786,-0.93216217,0.18977556,1.5775999,pop,Chloe (You're the One I Want),Emblem3
