tsne_1,tsne_2,genre,cluster
-33.484222,43.142094,rock,1
19.517305,6.369664,pop,4
22.123104,73.10883,rock,2
-81.713875,-26.376545,edm,5
-43.45267,-4.3796735,pop,1
-2.589899,1.0888085,pop,5
-32.857735,14.219512,rock,1
-41.4667,-32.659374,rock,5
-73.65686,-40.23966,pop,5
29.398987,75.17363,pop,2
30.550777,-38.67193,latin,4
23.110615,47.90258,r&b,2
-61.093372,35.612053,rock,1
-17.572744,-17.270027,edm,5
35.11343,-10.632449,rap,4
-19.566315,39.66917,rock,1
13.516004,2.2841003,pop,4
78.66917,-2.782767,rap,0
-19.976719,-76.901855,latin,5
50.888466,-73.092514,pop,5
60.15799,21.370045,r&b,0
52.965534,-37.71676,rap,4
-52.103336,-3.1573749,pop,1
-68.411606,58.036312,rock,3
13.256148,-77.6216,rap,5
0.050756924,60.86847,pop,2
61.16319,20.608444,rap,4
-23.007267,25.21487,edm,1
-85.5501,33.02296,edm,3
-24.035128,-41.197735,r&b,5
38.15179,-16.418524,latin,1
9.709652,80.48173,pop,2
3.056462,11.368681,r&b,5
-39.659973,-21.562761,rock,1
39.628643,16.000198,latin,4
10.56931,-21.385225,rap,4
24.917395,-14.160067,r&b,4
51.788486,8.516134,r&b,1
-66.0965,-3.9864013,rock,5
-53.94521,-46.07169,pop,5
93.13248,21.043308,latin,0
-42.282726,0.78559923,edm,1
-47.874886,-22.332247,rock,5
-66.81227,60.21909,pop,3
32.52582,28.316668,rock,2
14.740309,34.587704,latin,2
-73.94797,27.543386,edm,1
-25.180779,45.381706,rock,1
67.28532,-38.876484,latin,4
-20.09542,-63.88456,rock,5
-12.920176,52.63982,rap,1
-35.113163,-59.944664,pop,5
4.900393,24.616198,pop,2
-38.222313,-37.06111,pop,5
-70.68444,2.7584198,edm,1
21.322054,-73.55584,latin,5
13.348628,-69.41363,rap,5
-59.84845,11.729836,r&b,1
1.3448147,-48.533333,latin,4
15.159812,-71.759674,rap,5
88.21229,4.5808854,latin,0
-68.05102,20.358887,rock,1
46.92772,-28.36532,rap,4
47.130665,-28.124565,rap,4
4.959265,-13.711042,r&b,5
69.202805,26.869814,rap,1
27.688396,79.970245,pop,2
-51.511185,-1.4154136,rap,5
-10.305601,38.139313,pop,3
64.075134,-25.946924,rap,4
-59.494778,62.52699,edm,3
-52.953426,-51.40189,edm,5
74.44516,-7.573441,rap,4
85.066795,2.3340063,r&b,0
-42.331432,75.61262,rock,3
0.9394279,-32.86305,pop,5
0.8761996,-0.82447666,rock,5
-42.75551,14.365073,edm,1
22.423805,25.230642,r&b,2
16.970522,71.280655,pop,2
76.6454,30.245186,rock,1
-13.370869,41.907642,rock,2
-64.069786,59.758217,pop,3
4.2278647,-30.401842,pop,4
15.971292,-16.979807,pop,4
-72.895676,58.96729,edm,3
20.829676,28.905424,r&b,2
-45.94772,26.187313,edm,1
36.2088,3.9873466,r&b,4
-37.009754,-9.274501,pop,5
36.011166,-57.580044,latin,4
-2.7678492,56.130096,r&b,3
0.7134648,-51.323475,latin,5
-7.7607913,51.079903,rock,3
-23.145185,-50.20183,pop,5
-72.14219,18.5362,rock,1
-75.68888,10.808702,rock,1
-75.74481,62.243126,pop,3
-58.23685,32.126675,rock,1
0.0022823075,67.84283,rock,3
-28.623781,34.685467,rock,1
-76.99317,44.89409,rock,3
-6.5882716,-53.615902,rap,5
92.62488,-2.3302097,rap,0
-13.810432,-5.273432,latin,5
-15.653889,-32.426907,r&b,4
61.325882,3.3507662,rap,0
-69.03602,23.855001,rock,1
23.984737,-0.52220875,r&b,4
7.6561737,-40.31593,edm,4
-34.066677,57.39434,pop,1
-45.459763,12.811285,edm,1
-48.856613,43.280724,rock,1
41.70717,-35.645267,pop,4
97.484985,-8.502159,r&b,0
80.7377,-25.545511,r&b,4
-81.628494,39.32624,pop,3
27.693895,-81.28362,latin,5
64.257416,-9.170677,r&b,0
24.1094,-17.021624,r&b,4
-70.96293,49.13439,edm,3
-7.094358,-56.444786,r&b,5
17.091097,52.158,r&b,2
58.239765,-20.37159,latin,4
-35.18212,50.749733,rock,1
-20.219995,-66.488914,r&b,5
-5.8733416,-63.128223,rap,5
-38.371807,-68.23524,pop,5
-26.255041,-61.815983,pop,5
23.359795,42.94953,rock,2
25.581215,-61.445724,latin,4
-21.313139,36.40501,rock,1
10.058571,69.46773,pop,2
-37.907185,-35.378483,latin,5
53.03883,19.100405,r&b,0
1.8462627,68.471466,pop,2
44.20418,-45.640217,rap,4
-6.8639083,34.793884,pop,1
-50.088505,63.186203,edm,3
20.17054,-2.5383205,pop,4
